Name,Sequence Name,Length,Direction,Document Name,Type,Source
stem-loop repeats1,Cruci_ETS_Yu_ecotone539_c39,5,forward,Cruci_ETS_Yu_ecotone539_c39,stem_loop_repeats,Iteron_Finder
stem-loop repeats1,Cruci_ETS_Yu_ecotone539_c39,5,forward,Cruci_ETS_Yu_ecotone539_c39,stem_loop_repeats,Iteron_Finder
S iteron1,Cruci_ETS_Yu_ecotone539_c39,5,forward,Cruci_ETS_Yu_ecotone539_c39,stem_loop_repeats,Iteron_Finder
S iteron1,Cruci_ETS_Yu_ecotone539_c39,5,forward,Cruci_ETS_Yu_ecotone539_c39,stem_loop_repeats,Iteron_Finder
S iteron1,Cruci_ETS_Yu_ecotone539_c39,5,forward,Cruci_ETS_Yu_ecotone539_c39,stem_loop_repeats,Iteron_Finder
S iteron1,Cruci_ETS_Yu_ecotone539_c39,5,forward,Cruci_ETS_Yu_ecotone539_c39,stem_loop_repeats,Iteron_Finder
S iteron1,Cruci_ETS_Yu_ecotone539_c39,5,forward,Cruci_ETS_Yu_ecotone539_c39,stem_loop_repeats,Iteron_Finder
S iteron1,Cruci_ETS_Yu_ecotone539_c39,5,forward,Cruci_ETS_Yu_ecotone539_c39,stem_loop_repeats,Iteron_Finder
Putative Replication-associated Protein,Cruci_NW_Brin_100B_c95,1629,forward,Cruci_NW_Brin_100B_c95,CDS,
Putative Replication Associated Protein ,Cruci_CruV_103,921,reverse,Cruci_CruV_103,CDS,
Putative Replication Associated Protein ,Cruci_CruV_170,708,forward,Cruci_CruV_170,CDS,
Putative Replication Associated Protein ,Cruci_CruV_174,1119,reverse,Cruci_CruV_174,CDS,
Putative Replication Associated Protein ,Cruci_CruV_279,999,reverse,Cruci_CruV_279,CDS,
Putative Replication Associated Protein ,Cruci_CruV_346,888,forward,Cruci_CruV_346,CDS,
Putative Replication Associated Protein ,Cruci_CruV_347,846,forward,Cruci_CruV_347,CDS,
Putative Replication Associated Protein ,Cruci_CruV_370,909,reverse,Cruci_CruV_370,CDS,
Putative Replication Associated Protein ,Cruci_CruV_413,987,forward,Cruci_CruV_413,CDS,
Putative Replication Associated Protein ,Cruci_CruV_426,1059,forward,Cruci_CruV_426,CDS,
Putative Replication Associated Protein ,Cruci_CruV_450,1095,forward,Cruci_CruV_450,CDS,
Putative Replication Associated Protein ,Cruci_CruV_460,1023,forward,Cruci_CruV_460,CDS,
Putative Replication Associated Protein ,Cruci_CruV_462,942,reverse,Cruci_CruV_462,CDS,
Putative Replication Associated Protein ,Cruci_CruV_465,1224,forward,Cruci_CruV_465,CDS,
Putative Replication Associated Protein ,Cruci_CruV_483,1074,forward,Cruci_CruV_483,CDS,
Putative Replication Associated Protein ,Cruci_CruV_497,1083,forward,Cruci_CruV_497,CDS,
Putative Replication Associated Protein ,Cruci_CruV_499,1428,forward,Cruci_CruV_499,CDS,
Putative Replication Associated Protein ,Cruci_CruV_508,897,reverse,Cruci_CruV_508,CDS,
Putative Replication Associated Protein ,Cruci_CruV_513,1026,forward,Cruci_CruV_513,CDS,
Putative Replication Associated Protein ,Cruci_CruV_515,1032,forward,Cruci_CruV_515,CDS,
Putative Replication Associated Protein ,Cruci_CruV_517,1032,forward,Cruci_CruV_517,CDS,
Putative Replication Associated Protein ,Cruci_CruV_518,1281,forward,Cruci_CruV_518,CDS,
Putative Replication Associated Protein ,Cruci_CruV_522,1020,forward,Cruci_CruV_522,CDS,
Putative Replication Associated Protein ,Cruci_CruV_537,1122,forward,Cruci_CruV_537,CDS,
Putative Replication Associated Protein,Cruci_CruV_81,891,reverse,Cruci_CruV_81,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_83,789,forward,Cruci_CruV_83,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_84,789,forward,Cruci_CruV_84,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_86,900,forward,Cruci_CruV_86,CDS,Geneious
